Binomial,Genus,Species,Binomial,ActivityCycle,AdultBodyMass_g,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,HabitatBreadth,HomeRange_km2
Canis_adustus,Canis,adustus,Canis adustus,1,10392.49,745.32,-999,-999,-999,-999,6,1,1.01
Canis_aureus,Canis,aureus,Canis aureus,2,9658.7,827.53,7.5,-999,-999,-999,6,1,2.95
Canis_latrans,Canis,latrans,Canis latrans,2,11989.1,872.39,11.94,365,3699,10450,1,1,18.88
Canis_lupus,Canis,lupus,Canis lupus,2,31756.51,1055,14.01,547.5,11254.2,33100,1,1,159.86
Canis_mesomelas,Canis,mesomelas,Canis mesomelas,2,8247.3,707.27,-999,-999,-999,-999,6,1,11.93
Canis_simensis,Canis,simensis,Canis simensis,3,14361.86,938.19,-999,-999,-999,-999,1,1,4.2
Atelocynus_microtis,Atelocynus,microtis,Atelocynus microtis,-999,8363.22,831.01,-999,-999,-999,-999,1,1,-999
Cerdocyon_thous,Cerdocyon,thous,Cerdocyon thous,1,5741.66,648.06,14,-999,1556.56,5592.83,7,1,1.41
Chrysocyon_brachyurus,Chrysocyon,brachyurus,Chrysocyon brachyurus,2,23325,1245.72,9.03,-999,-999,-999,6,1,21.36
Cuon_alpinus,Cuon,alpinus,Cuon alpinus,2,15800,987.74,14.01,-999,-999,-999,1,1,33.64
Dusicyon_australis,Dusicyon,australis,Dusicyon australis,-999,-999,957.14,-999,-999,-999,-999,1,1,-999
Lycalopex_culpaeus,Lycalopex,culpaeus,Lycalopex culpaeus,1,8616.24,720.34,-999,-999,-999,-999,2,1,5.05
Lycalopex_fulvipes,Lycalopex,fulvipes,Lycalopex fulvipes,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lycalopex_griseus,Lycalopex,griseus,Lycalopex griseus,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lycalopex_gymnocercus,Lycalopex,gymnocercus,Lycalopex gymnocercus,1,4542.67,619.15,-999,-999,-999,-999,7,1,-999
Lycalopex_sechurae,Lycalopex,sechurae,Lycalopex sechurae,1,4234,558.91,-999,-999,-999,-999,7,1,-999
Lycalopex_vetulus,Lycalopex,vetulus,Lycalopex vetulus,-999,4233.47,600.05,-999,-999,-999,-999,6,1,-999
Lycaon_pictus,Lycaon,pictus,Lycaon pictus,3,21999.99,923.86,11.94,927.7,10259.65,15375,1,1,395.88
Nyctereutes_procyonoides,Nyctereutes,procyonoides,Nyctereutes procyonoides,1,4214.99,447.38,9.5,730,1739.4,4215,6,1,1.15
Otocyon_megalotis,Otocyon,megalotis,Otocyon megalotis,2,4098.12,537.63,-999,-999,-999,-999,1,1,1.13
Speothos_venaticus,Speothos,venaticus,Speothos venaticus,3,6324.54,624.73,14,-999,-999,-999,1,1,-999
Urocyon_cinereoargenteus,Urocyon,cinereoargenteus,Urocyon cinereoargenteus,2,3833.71,601.7,9.75,-999,-999,-999,6,1,1.83
Urocyon_littoralis,Urocyon,littoralis,Urocyon littoralis,2,1923,471.23,10.5,-999,-999,-999,6,1,0.42
Vulpes_bengalensis,Vulpes,bengalensis,Vulpes bengalensis,2,2514.4,521.66,-999,-999,-999,-999,6,1,-999
Vulpes_cana,Vulpes,cana,Vulpes cana,1,988.5,425.92,-999,-999,-999,-999,6,1,1.17
Vulpes_chama,Vulpes,chama,Vulpes chama,1,2919.8,532.2,-999,-999,-999,-999,6,1,-999
Vulpes_corsac,Vulpes,corsac,Vulpes corsac,1,2615.33,578.27,-999,-999,-999,-999,6,1,-999
Vulpes_ferrilata,Vulpes,ferrilata,Vulpes ferrilata,-999,5543.74,600.05,-999,-999,-999,-999,1,1,-999
Vulpes_lagopus,Vulpes,lagopus,Vulpes lagopus,2,3584.37,564.81,15.03,-999,1627.2,3200,1,1,14.1
Vulpes_macrotis,Vulpes,macrotis,Vulpes macrotis,-999,4499.97,-999,-999,-999,-999,-999,-999,-999,8.1
Vulpes_pallida,Vulpes,pallida,Vulpes pallida,1,2800.01,429.21,-999,-999,-999,-999,6,1,-999
Vulpes_rueppellii,Vulpes,rueppellii,Vulpes rueppellii,1,3249.97,458.63,-999,-999,-999,-999,1,1,29.93
Vulpes_velox,Vulpes,velox,Vulpes velox,1,2088,503.79,12.5,-999,1114.2,2088,1,1,4.59
Vulpes_vulpes,Vulpes,vulpes,Vulpes vulpes,1,4820.36,627.12,14.01,-999,2152.8,4100,1,1,3.5
Vulpes_zerda,Vulpes,zerda,Vulpes zerda,1,1317.13,374.23,16.95,-999,467.97,1303,6,1,-999
