Species_W&R05,Species_W&R93,Clade,Order,Family,AdultBodyMass_g,MaxLongevity_m,CitationCountMarch2011,PSR,WBC
Acinonyx jubatus,Acinonyx jubatus,C,CARNIVORA,FELIDAE,50577.92,228,1289,22,10.35
Addax nasomaculatus,Addax nasomaculatus,U,CETARTIODACTYLA,BOVIDAE,96077.36,308.04,134,1,6.689
Aepyceros melampus,Aepyceros melampus,U,CETARTIODACTYLA,BOVIDAE,52591.69,213,990,77,3.5
Ailuropoda melanoleuca,Ailuropoda melanoleuca,C,CARNIVORA,URSIDAE,117999.99,360,1525,4,NA
Ailurus fulgens,Ailurus fulgens,C,CARNIVORA,AILURIDAE,5170.08,168,441,2,7.281
Alcelaphus buselaphus,Alcelaphus buselaphus,U,CETARTIODACTYLA,BOVIDAE,160937.86,240,385,30,5.087
Alces alces,Alces alces,U,CETARTIODACTYLA,CERVIDAE,461900.76,324,4457,46,6.409
Allenopithecus nigroviridis,Allenopithecus nigroviridis,P,PRIMATES,CERCOPITHECIDAE,4749.96,276,41,2,8.238
Alouatta caraya,Alouatta caraya,P,PRIMATES,ATELIDAE,5576.96,243.6,394,23,14.4
Alouatta palliata,Alouatta palliata,P,PRIMATES,ATELIDAE,6576.99,300,790,26,NA
Alouatta pigra,Alouatta pigra,P,PRIMATES,ATELIDAE,7172.06,240,246,8,NA
Alouatta seniculus,Alouatta seniculus,P,PRIMATES,ATELIDAE,6398.31,300,495,40,NA
Antilocapra americana,Antilocapra americana,U,CETARTIODACTYLA,ANTILOCAPRIDAE,47450.01,144,877,19,6.319
Antilope cervicapra,Antilope cervicapra,U,CETARTIODACTYLA,BOVIDAE,36301.1,243,372,10,4.076
Aotus azarae,Aotus azarai,P,PRIMATES,AOTIDAE,929.57,360,184,13,15.63
Aotus trivirgatus,Aotus trivirgatus,P,PRIMATES,AOTIDAE,912.4,303.6,1763,16,10.58
Arctictis binturong,Arctictis binturong,C,CARNIVORA,VIVERRIDAE,12999.99,272.4,107,1,12.55
Arctocebus calabarensis,Arctocebus calabarensis,P,PRIMATES,LORISIDAE,258.01,156,52,2,NA
Ateles belzebuth,Ateles belzebuth,P,PRIMATES,ATELIDAE,6692.42,336,184,2,16.12
Ateles fusciceps,Ateles fusciceps,P,PRIMATES,ATELIDAE,9067.94,288,88,13,13.61
Ateles geoffroyi,Ateles geoffroyi,P,PRIMATES,ATELIDAE,7582.4,327.6,707,14,12.98
Ateles paniscus,Ateles paniscus,P,PRIMATES,ATELIDAE,8697.25,453.6,230,18,13.06
Atilax paludinosus,Atilax paludinosus,C,CARNIVORA,HERPESTIDAE,3600.16,209,80,1,NA
Axis axis,Axis axis,U,CETARTIODACTYLA,CERVIDAE,69499.99,249.6,572,22,4.281
Axis porcinus,Axis porcinus,U,CETARTIODACTYLA,CERVIDAE,37448.29,240,115,2,4.214
Bassariscus astutus,Bassariscus astutus,C,CARNIVORA,PROCYONIDAE,1010.37,198,129,1,5.727
Bison bison,Bison bison,U,CETARTIODACTYLA,BOVIDAE,624577.07,396,1730,37,7.186
Bison bonasus,Bison bonasus,U,CETARTIODACTYLA,BOVIDAE,675876.7,324,931,49,6.471
Blastocerus dichotomus,Blastocerus dichotomus,U,CETARTIODACTYLA,CERVIDAE,112518.53,164.4,110,7,NA
Bos frontalis,Bos frontalis,U,CETARTIODACTYLA,BOVIDAE,800143.05,314.4,365,4,8.741
